2026-03-29 22:54:49 | ACTION:LOGIN-SUCCESS | Account:0 | Amount:0
2026-03-29 22:55:57 | ACTION:LOGIN-SUCCESS | Account:0 | Amount:0
2026-03-29 22:56:50 | ACTION:CREATED-ACCOUNT | Account:101101 | Amount:500.0
2026-03-29 22:57:04 | ACTION:CHECK-BAL | Account:101101 | Amount:500.0
2026-03-29 23:50:03 | ACTION:LOGIN-SUCCESS | Account:0 | Amount:0
2026-03-29 23:50:03 | ACTION:CREATED-ACCOUNT | Account:101 | Amount:5000.0
2026-03-29 23:50:03 | ACTION:DEPOSIT | Account:101 | Amount:2000.0
2026-03-29 23:50:03 | ACTION:LOGOUT | Account:0 | Amount:0
2026-03-29 23:50:19 | ACTION:LOGIN-SUCCESS | Account:0 | Amount:0
2026-03-29 23:50:19 | ACTION:CHECK-BAL | Account:101 | Amount:7000.0
2026-03-29 23:50:19 | ACTION:LOGOUT | Account:0 | Amount:0
2026-03-30 00:33:52 | ACTION:LOGIN-SUCCESS | Account:0 | Amount:0
2026-03-30 00:34:20 | ACTION:CREATED-ACCOUNT | Account:10013401 | Amount:51000.0
2026-03-30 00:34:32 | ACTION:CHECK-BAL | Account:10013401 | Amount:51000.0
